,Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,Parent id,Review created,Communicate created,age_till_communicate,age_till_communicate_hours
1374,CI-6524,373087,Closed,tsteinhaeuser,2022-03-03 10:55:00,11/Mar/22 12:00 AM,12/May/22 2:44 PM,Expense Development,Service Request (SR),373087,2022-03-03 10:55:00,2022-03-10 11:43:00,7 days 00:48:00.000000000,168.8
1375,CI-6523,373063,Closed,aruizrobles,2022-03-03 10:42:00,07/Mar/22 12:00 AM,07/Mar/22 5:41 PM,Numiga,Service Request (SR),373063,2022-03-03 10:42:00,2022-03-07 17:24:00,4 days 06:42:00.000000000,102.7
1376,CI-6522,373004,Closed,guinoo,2022-03-03 04:15:00,09/Mar/22 12:00 AM,10/Mar/22 2:31 AM,TeamBank AG,Service Request (SR),373004,2022-03-03 04:15:00,2022-03-09 10:57:00,6 days 06:42:00.000000000,150.7
1377,CI-6521,372997,Closed,guinoo,2022-03-03 03:52:00,04/Mar/22 12:00 AM,03/Mar/22 8:44 AM,CMS Hasche Sigle,Service Request (SR),372997,2022-03-03 03:52:00,2022-03-03 08:34:00,0 days 04:42:00.000000000,4.7
1378,CI-6520,372982,Closed,yutaka,2022-03-03 00:37:00,04/Mar/22 12:00 AM,09/Mar/22 12:26 AM,Heidelberg Cement,Service Request (SR),372982,2022-03-03 00:37:00,2022-03-03 00:45:00,0 days 00:08:00.000000000,0.13
1379,CI-6519,372980,Closed,yutaka,2022-03-03 00:26:00,11/Mar/22 12:00 AM,29/Mar/22 1:26 PM,Porsche,Service Request (SR),372980,2022-03-03 00:26:00,2022-03-28 16:30:00,25 days 16:04:00.000000000,616.07
1380,CI-6518,372926,Closed,ssanz,2022-03-02 15:51:00,09/Mar/22 12:00 AM,25/Apr/22 4:30 PM,Allianz,Service Request (SR),372926,2022-03-02 15:51:00,2022-04-25 12:28:00,53 days 20:37:00.000000000,1292.62
1381,CI-6517,372903,Closed,achattopadhyay,2022-03-02 15:02:00,09/Mar/22 12:00 AM,12/May/22 1:52 PM,Holtzbrink,Service Request (SR),372903,2022-03-02 15:02:00,2022-03-14 13:50:00,11 days 22:48:00.000000000,286.8
1382,CI-6516,372730,Closed,ssanz,2022-03-02 09:56:00,30/Mar/22 12:00 AM,12/Apr/22 3:48 PM,Allianz,Service Request (SR),372730,2022-03-02 09:56:00,2022-04-12 10:43:00,41 days 00:47:00.000000000,984.78
1383,CI-6515,372678,Closed,hilbich,2022-03-02 08:15:00,09/Mar/22 12:00 AM,18/Mar/22 8:21 AM,Allianz,Incident Request (IR),372678,2022-03-02 08:15:00,2022-03-10 12:50:00,8 days 04:35:00.000000000,196.58
1384,CI-6514,372654,Closed,yutaka,2022-03-02 03:02:00,11/Mar/22 12:00 AM,15/Mar/22 3:41 PM,Endress Hauser,Service Request (SR),372654,2022-03-02 03:02:00,2022-03-15 12:28:00,13 days 09:26:00.000000000,321.43
1385,CI-6513,372652,Closed,yutaka,2022-03-02 02:39:00,11/Mar/22 12:00 AM,29/Mar/22 2:15 AM,Allianz,Service Request (SR),372652,2022-03-02 02:39:00,2022-03-24 13:46:00,22 days 11:07:00.000000000,539.12
1386,CI-6512,372589,Closed,ssanz,2022-03-01 14:47:00,08/Mar/22 12:00 AM,29/Mar/22 1:49 PM,ArcelorMittal,Service Request (SR),372589,2022-03-01 14:47:00,2022-03-15 13:54:00,13 days 23:07:00.000000000,335.12
1387,CI-6511,372560,Closed,nsanchez,2022-03-01 13:54:00,07/Mar/22 12:00 AM,20/Apr/22 9:15 AM,Allianz,Service Request (SR),372560,2022-03-01 13:54:00,2022-04-20 08:21:00,49 days 18:27:00.000000000,1194.45
1388,CI-6510,372531,Closed,nsanchez,2022-03-01 12:36:00,07/Mar/22 12:00 AM,20/Apr/22 9:15 AM,Allianz,Service Request (SR),372531,2022-03-01 12:36:00,2022-04-20 08:21:00,49 days 19:45:00.000000000,1195.75
1389,CI-6509,372529,Closed,ngraf,2022-03-01 12:33:00,08/Mar/22 12:00 AM,08/Mar/22 1:07 PM,Enercon,Service Request (SR),372529,2022-03-01 12:33:00,2022-03-08 12:42:00,7 days 00:09:00.000000000,168.15
1390,CI-6508,372498,Closed,ssanz,2022-03-01 11:01:00,08/Mar/22 12:00 AM,23/Mar/22 2:25 PM,Porsche,Service Request (SR),372498,2022-03-01 11:01:00,2022-03-23 09:52:00,21 days 22:51:00.000000000,526.85
1391,CI-6507,372452,Closed,yutaka,2022-03-01 08:47:00,04/Mar/22 12:00 AM,12/Apr/22 3:41 AM,Rehau,Incident Request (IR),372452,2022-03-01 08:47:00,2022-04-04 10:23:00,34 days 01:36:00.000000000,817.6
1392,CI-6506,372415,Closed,yutaka,2022-03-01 01:56:00,04/Mar/22 12:00 AM,02/Mar/22 2:08 AM,Red Electrica,Service Request (SR),372415,2022-03-01 01:56:00,2022-03-01 03:50:00,0 days 01:54:00.000000000,1.9
1393,CI-6505,372383,Closed,nsanchez,2022-02-28 16:51:00,03/Mar/22 12:00 AM,09/Mar/22 4:25 PM,Amadeus,Incident Request (IR),372383,2022-02-28 16:51:00,2022-03-09 11:48:00,8 days 18:57:00.000000000,210.95
1394,CI-6504,372337,Closed,nsanchez,2022-02-28 15:55:00,07/Mar/22 12:00 AM,24/Mar/22 12:37 PM,Allianz,Service Request (SR),372337,2022-02-28 15:55:00,2022-03-24 11:41:00,23 days 19:46:00.000000000,571.77
1395,CI-6503,372306,Closed,nsanchez,2022-02-28 15:02:00,07/Mar/22 12:00 AM,16/Mar/22 3:29 PM,Endress Hauser,Service Request (SR),372306,2022-02-28 15:02:00,2022-03-16 14:40:00,15 days 23:38:00.000000000,383.63
1396,CI-6502,372264,Closed,nsanchez,2022-02-28 12:21:00,07/Mar/22 12:00 AM,19/Apr/22 12:11 PM,OBB,Service Request (SR),372264,2022-02-28 12:21:00,2022-04-19 11:58:00,49 days 23:37:00.000000000,1199.62
1397,CI-6501,372260,Closed,nsanchez,2022-02-28 12:07:00,07/Mar/22 12:00 AM,31/Mar/22 3:37 PM,msg systems,Service Request (SR),372260,2022-02-28 12:07:00,2022-03-31 15:27:00,31 days 03:20:00.000000000,747.33
